Topik ID,Kata Kunci Dominan,Rumus Probabilitas
1,"Spatial, Spectral, Fuzzy, Hyperspectral, Matrix, Kernel, Channel, Loss, Dimension, Distance, Similarity, Sample, Manifold, Original, Target, Constructed, Sensing, Redundancy, Coefficient, Remote, Resolution, Estimation, Sparse, Firstly, Entropy","0.0115*""spatial"" + 0.0096*""spectral"" + 0.0077*""fuzzy"" + 0.0068*""hyperspectral"" + 0.0058*""matrix"" + 0.0051*""kernel"" + 0.0051*""channel"" + 0.0044*""loss"" + 0.0043*""dimension"" + 0.0043*""distance"" + 0.0042*""similarity"" + 0.0040*""sample"" + 0.0040*""manifold"" + 0.0040*""original"" + 0.0039*""target"" + 0.0039*""constructed"" + 0.0039*""sensing"" + 0.0038*""redundancy"" + 0.0038*""coefficient"" + 0.0038*""remote"" + 0.0038*""resolution"" + 0.0038*""estimation"" + 0.0037*""sparse"" + 0.0037*""firstly"" + 0.0036*""entropy"""
2,"D_, Aspect, Graph, Arabic, Bert, Texts, Fine, Representations, Aspect_Based_Sentiment_Analysis, Contextual, Emotional, Emotion, Embeddings, Module, Embedding, _X, Polarity, Speech, Multimodal, Aspects, Languages, Opinion, Corpus, Document, Documents","0.0127*""d_"" + 0.0124*""aspect"" + 0.0088*""graph"" + 0.0084*""arabic"" + 0.0075*""bert"" + 0.0072*""texts"" + 0.0072*""fine"" + 0.0070*""representations"" + 0.0068*""aspect_based_sentiment_analysis"" + 0.0068*""contextual"" + 0.0066*""emotional"" + 0.0066*""emotion"" + 0.0065*""embeddings"" + 0.0062*""module"" + 0.0061*""embedding"" + 0.0058*""_x"" + 0.0054*""polarity"" + 0.0054*""speech"" + 0.0052*""multimodal"" + 0.0049*""aspects"" + 0.0048*""languages"" + 0.0048*""opinion"" + 0.0046*""corpus"" + 0.0045*""document"" + 0.0040*""documents"""
3,"Food, Education, Students, Policy, Business, Academic, Technological, Educational, Science, Safety, Student, Innovation, Themes, Sustainability, Systematic, Thematic, Practices, Articles, Driving, Evolution, Growth, Concerns, Strategic, Economic, Behavioral","0.0134*""food"" + 0.0096*""education"" + 0.0078*""students"" + 0.0075*""policy"" + 0.0074*""business"" + 0.0071*""academic"" + 0.0063*""technological"" + 0.0061*""educational"" + 0.0060*""science"" + 0.0059*""safety"" + 0.0056*""student"" + 0.0056*""innovation"" + 0.0055*""themes"" + 0.0053*""sustainability"" + 0.0053*""systematic"" + 0.0052*""thematic"" + 0.0051*""practices"" + 0.0050*""articles"" + 0.0050*""driving"" + 0.0048*""evolution"" + 0.0046*""growth"" + 0.0046*""concerns"" + 0.0044*""strategic"" + 0.0044*""economic"" + 0.0043*""behavioral"""
4,"Attacks, Water, Intrusion, Attack, Traffic, Ids, Anomaly, Malware, Cyber, Threats, Cybersecurity, Communication, Malicious, Autoencoder, Hand, Threat, Devices, Net, Android, Ddos, Hr, Detecting, Autoencoders, Wireless, Concept","0.0218*""attacks"" + 0.0170*""water"" + 0.0151*""intrusion"" + 0.0115*""attack"" + 0.0108*""traffic"" + 0.0095*""ids"" + 0.0092*""anomaly"" + 0.0092*""malware"" + 0.0081*""cyber"" + 0.0079*""threats"" + 0.0061*""cybersecurity"" + 0.0059*""communication"" + 0.0052*""malicious"" + 0.0047*""autoencoder"" + 0.0047*""hand"" + 0.0046*""threat"" + 0.0046*""devices"" + 0.0045*""net"" + 0.0044*""android"" + 0.0043*""ddos"" + 0.0043*""hr"" + 0.0040*""detecting"" + 0.0039*""autoencoders"" + 0.0037*""wireless"" + 0.0037*""concept"""
5,"Financial, Multimodal, Modal, Market, Stock, Coal, Llm, Price, P, Parameter, Dual, Multivariate, Sequences, Cryptocurrency, Architectures, Signals, Nonlinear, Motion, Mechanisms, Bilstm, Indicators, Protein, Subsequently, Spatial, Individual","0.0108*""financial"" + 0.0090*""multimodal"" + 0.0075*""modal"" + 0.0060*""market"" + 0.0057*""stock"" + 0.0056*""coal"" + 0.0054*""llm"" + 0.0049*""price"" + 0.0041*""p"" + 0.0040*""parameter"" + 0.0039*""dual"" + 0.0038*""multivariate"" + 0.0038*""sequences"" + 0.0036*""cryptocurrency"" + 0.0035*""architectures"" + 0.0035*""signals"" + 0.0034*""nonlinear"" + 0.0034*""motion"" + 0.0034*""mechanisms"" + 0.0033*""bilstm"" + 0.0032*""indicators"" + 0.0031*""protein"" + 0.0030*""subsequently"" + 0.0030*""spatial"" + 0.0029*""individual"""
6,"Fault, Rf, Gradient, Boosting, Diagnosis, Xgboost, Pso, Nearest, Vibration, Genetic, K_Nearest_Neighbors, Swarm, Particle, Mlp, Logistic, Tree, Ga, Fs, Disease, Signal, Signals, Bearing, Mode, Imbalance, Heart","0.0129*""fault"" + 0.0109*""rf"" + 0.0094*""gradient"" + 0.0091*""boosting"" + 0.0084*""diagnosis"" + 0.0082*""xgboost"" + 0.0066*""pso"" + 0.0061*""nearest"" + 0.0057*""vibration"" + 0.0054*""genetic"" + 0.0054*""k_nearest_neighbors"" + 0.0053*""swarm"" + 0.0052*""particle"" + 0.0052*""mlp"" + 0.0052*""logistic"" + 0.0051*""tree"" + 0.0049*""ga"" + 0.0048*""fs"" + 0.0046*""disease"" + 0.0046*""signal"" + 0.0042*""signals"" + 0.0040*""bearing"" + 0.0039*""mode"" + 0.0037*""imbalance"" + 0.0037*""heart"""
7,"Load, Consumption, Grid, Traffic, Mae, Rmse, Electricity, Solar, Absolute, Planning, Forecasts, Wind, Stability, Interpretability, Dynamics, Renewable, Weather, Historical, Multivariate, Interpretable, Air, Carbon, Arima, Electric, Mse","0.0109*""load"" + 0.0089*""consumption"" + 0.0067*""grid"" + 0.0065*""traffic"" + 0.0061*""mae"" + 0.0058*""rmse"" + 0.0058*""electricity"" + 0.0051*""solar"" + 0.0050*""absolute"" + 0.0046*""planning"" + 0.0046*""forecasts"" + 0.0044*""wind"" + 0.0043*""stability"" + 0.0042*""interpretability"" + 0.0041*""dynamics"" + 0.0040*""renewable"" + 0.0040*""weather"" + 0.0038*""historical"" + 0.0038*""multivariate"" + 0.0037*""interpretable"" + 0.0037*""air"" + 0.0036*""carbon"" + 0.0035*""arima"" + 0.0034*""electric"" + 0.0034*""mse"""
8,"Iot, Cloud, Supply, Devices, Computing, Chain, Edge, Fault, Smart, Sensor, Things, Pv, Operations, Privacy, Production, Software, Sensors, Environment, Maintenance, Big, Crop, Distributed, Circular, Voltage, Latency","0.0267*""iot"" + 0.0146*""cloud"" + 0.0138*""supply"" + 0.0106*""devices"" + 0.0104*""computing"" + 0.0104*""chain"" + 0.0102*""edge"" + 0.0096*""fault"" + 0.0094*""smart"" + 0.0094*""sensor"" + 0.0093*""things"" + 0.0068*""pv"" + 0.0065*""operations"" + 0.0061*""privacy"" + 0.0060*""production"" + 0.0059*""software"" + 0.0053*""sensors"" + 0.0049*""environment"" + 0.0048*""maintenance"" + 0.0048*""big"" + 0.0047*""crop"" + 0.0046*""distributed"" + 0.0046*""circular"" + 0.0045*""voltage"" + 0.0045*""latency"""
9,"Covid, News, Pandemic, Tweets, C, Stock, Political, Market, Events, Prices, Price, Government, Financial, Economic, People, Disease, Response, Diseases, Modelling, Cases, Disaster, Discourse, Spread, Period, Countries","0.0117*""covid"" + 0.0092*""news"" + 0.0081*""pandemic"" + 0.0076*""tweets"" + 0.0073*""c"" + 0.0072*""stock"" + 0.0067*""political"" + 0.0065*""market"" + 0.0060*""events"" + 0.0058*""prices"" + 0.0057*""price"" + 0.0056*""government"" + 0.0051*""financial"" + 0.0049*""economic"" + 0.0040*""people"" + 0.0038*""disease"" + 0.0036*""response"" + 0.0036*""diseases"" + 0.0036*""modelling"" + 0.0036*""cases"" + 0.0035*""disaster"" + 0.0035*""discourse"" + 0.0034*""spread"" + 0.0033*""period"" + 0.0032*""countries"""
10,"Gas, Project, Life, Maintenance, Construction, Failure, Gru, Projects, Temperature, Trend, Retrieval, Rul, Safety, Remaining, Degradation, Fire, Useful, Nonlinear, Equipment, Spectrum, Evolutionary, Ann, Unit, Moving, Industrial","0.0086*""gas"" + 0.0075*""project"" + 0.0066*""life"" + 0.0064*""maintenance"" + 0.0060*""construction"" + 0.0058*""failure"" + 0.0050*""gru"" + 0.0045*""projects"" + 0.0042*""temperature"" + 0.0042*""trend"" + 0.0039*""retrieval"" + 0.0038*""rul"" + 0.0036*""safety"" + 0.0036*""remaining"" + 0.0034*""degradation"" + 0.0034*""fire"" + 0.0033*""useful"" + 0.0033*""nonlinear"" + 0.0033*""equipment"" + 0.0032*""spectrum"" + 0.0031*""evolutionary"" + 0.0030*""ann"" + 0.0030*""unit"" + 0.0030*""moving"" + 0.0029*""industrial"""
